Lens ID,Country,Publication Date,Publication Year,Title,Assignee (Applicant),Primary Assignee,Technology Category,Application Area,Abstract,URL
118-542-046-279-170,United States,2024-10-31,2024,SYSTEM FOR HEATING A LITHIUM-ION BATTERY USING ALTERNATING CURRENT AND A VEHICLE HAVING THE SAME,GM GLOBAL TECH OPERATIONS LLC,GM GLOBAL TECH OPERATIONS,Thermal & Safety,Electric Vehicles,"A vehicle having an ambient temperature sensor, a low voltage lithium-ion battery and a controller is provided. The controller is configured to monitor the ambient temperature sensor and based on a determination that an ambient temperature is below a threshold value, provide an alternating current power to the low voltage lithium-ion battery. The alternating current power causes the low voltage lithium-ion battery to heat.",https://lens.org/118-542-046-279-170
136-732-655-523-239,China,2024-06-04,2024,Method for preparing sodium-ion battery negative electrode from bamboo wood and sodium-ion battery negative electrode,XINXIANG DIANGANG TECH CO LTD,XINXIANG DIANGANG TECH,Thermal & Safety,General Applications,"The invention relates to the technical field of sodium-ion battery negative electrodes, in particular to a method for preparing a sodium-ion battery negative electrode from bamboo wood and the sodium-ion battery negative electrode. The hydroxyl-containing benzothiazole is introduced into the sodium ion battery negative electrode, so that the prepared sodium ion negative electrode has relatively high thermal stability and chemical stability; in addition, due to the addition of benzothiazole, a nitrogen-sulfur heterocyclic ring can be introduced into the negative electrode of the sodium-ion battery, so that the first-circle coulombic efficiency (ICE) and the cycling stability of the battery are improved; in addition, a titanium oxide precursor is introduced during preparation, so that the cycling stability of the sodium-ion battery is greatly enhanced, and the service life of the sodium-ion battery is prolonged. And finally, the bamboo wood is used as a carbon source of the negative electrode of the sodium-ion battery, so that the sodium-ion battery is more environment-friendly compared with a traditional petroleum-based material, the dependence on fossil fuel is reduced, and the added value of the bamboo wood is improved to a greater extent.",https://lens.org/136-732-655-523-239
004-236-910-562-456,China,2024-02-06,2024,"Sodium-ion battery positive electrode material, preparation method thereof, sodium-ion battery and electric equipment",CNGR ADVANCED MAT CO LTD;;HUNAN ZOOMWE NEW ENERGY TECH CO LTD;;GUANGXI ZHONGWEI NEW ENERGY TECH CO LTD,CNGR ADVANCED MAT,Others,General Applications,"The invention discloses a sodium-ion battery positive electrode material, a preparation method thereof, a sodium-ion battery and electric equipment, and belongs to the technical field of sodium-ion battery materials. The sodium ion battery positive electrode material provided by the invention comprises a secondary particle composed of a plurality of primary particles, and the cross section of the secondary particle comprises strip-shaped holes arranged along the circumferential direction. The sodium-ion battery positive electrode material provided by the invention has a special morphology, the contact area between the sodium-ion battery positive electrode material and an electrode solution can be increased through the special morphology, the structure is stable and not prone to collapse, and a sodium-ion battery prepared from the sodium-ion battery positive electrode material has good electrochemical performance.",https://lens.org/004-236-910-562-456
121-535-503-241-200,China,2024-03-08,2024,"Sodium-ion battery positive electrode composite material, preparation method thereof and sodium-ion battery",NAYUAN NEW MATERIAL TECH WUXI CO LTD,NAYUAN NEW MATERIAL TECH WUXI,Others,General Applications,"The invention relates to the technical field of sodium-ion batteries, in particular to a sodium-ion battery positive electrode composite material, a preparation method thereof and a sodium-ion battery. The sodium ion battery positive electrode composite material comprises a layered oxide and a sodium orthophosphate ion material layer coated on the surface of the layered oxide. According to the sodium-ion battery positive electrode composite material, the surface of the layered oxide is coated with the sodium-rich sodium orthophosphate ion material layer, the surface of the layered material is protected, the capacity fading rate of a sodium-ion battery positive electrode in the circulation process is reduced, and the circulation stability of a sodium-ion battery is improved.",https://lens.org/121-535-503-241-200
166-716-210-458-874,China,2024-10-29,2024,"Low-sodium-phase sodium-ion battery positive electrode material, preparation method thereof and sodium-ion battery",GANZHOU NUOWEI TECH CO LTD,GANZHOU NUOWEI TECH,Thermal & Safety,General Applications,"The invention provides a preparation method of a low-sodium-phase sodium-ion battery positive electrode material, which comprises the following steps: sealing and heating a layered sodium metal oxide positive electrode material and XPF6, carrying out etching treatment on the surface of the positive electrode material by XPF6 decomposition gas to construct a protective film, and then carrying out electrochemical sodium removal treatment on the surface-modified sodium-ion battery positive electrode material to control the sodium content. Therefore, the stable low-sodium-phase sodium-ion battery positive electrode material is formed, and the cycle performance of the obtained low-sodium-phase sodium-ion battery positive electrode material is obviously improved. The invention also provides the low-sodium-phase sodium-ion battery positive electrode material prepared by the preparation method and a sodium-ion battery based on the low-sodium-phase sodium-ion battery positive electrode material.",https://lens.org/166-716-210-458-874
121-498-044-302-966,China,2024-03-19,2024,Preparation method of sodium ferric sulfate coated sodium ion battery electrode material,GUIZHOU ZHENHUA NEW MAT CO LTD;;GUIZHOU ZHENHUA YILONG NEW MAT CO LTD;;GUIZHOU ZHENHUA NEW MAT CO LTD,GUIZHOU ZHENHUA NEW MAT,Others,General Applications,"The invention provides a preparation method of a sodium ferric sulfate coated sodium-ion battery electrode material, which comprises the following steps: coating a certain amount of ferrous sulfate on the surface of a sodium-ion battery positive electrode material, and carrying out diffusion migration on ferrous ions and sulfate ions to the surface of the material at a proper sintering temperature to obtain the sodium ferric sulfate coated sodium-ion battery positive electrode material. Sodium ferric sulfate is formed on the surface of the material in situ, and then the sodium ferric sulfate coated and modified sodium ion battery positive electrode material is obtained. Therefore, sodium ferric sulfate is formed on the surface of the sodium ion battery electrode material in situ, that is, a layer of sodium ferric sulfate is coated on the surface of the sodium ion battery positive electrode material, so that after the coated and sintered sodium ion battery positive electrode material is made into a battery, not only is the voltage platform of the battery improved, but also the cycle performance of the battery is improved.",https://lens.org/121-498-044-302-966
100-363-908-792-625,China,2024-10-29,2024,"Modified sodium ion battery positive electrode material, preparation method thereof and sodium ion battery",GANZHOU NUOWEI TECH CO LTD,GANZHOU NUOWEI TECH,Thermal & Safety,Electric Vehicles,"The invention belongs to the technical field of sodium-ion battery positive electrode materials, and discloses a modified sodium-ion battery positive electrode material, a preparation method thereof and a sodium-ion battery. The modified sodium ion battery positive electrode material comprises a sodium ion battery positive electrode material base body and a coating layer located on at least part of the surface of the base body, and the coating layer is made of Co5. 4N and FeSe2. The preparation method comprises the following steps: mixing a sodium-ion battery positive electrode material matrix, Co5. 4N and FeSe2 in absolute ethyl alcohol, heating and stirring until a solvent is evaporated to dryness, so as to obtain a solid mixture; and drying and sintering the solid mixture to obtain the modified sodium ion battery positive electrode material. The surface of the sodium-ion battery positive electrode material is coated with Co5.47 N and FeSe2, so that the capacity of the sodium-ion battery positive electrode material can be improved, sodium ion conversion can be catalyzed, the conductivity can be enhanced, the structural stability can be improved, and the cycle life of the battery can be prolonged.",https://lens.org/100-363-908-792-625
108-301-549-790-210,China,2024-06-11,2024,Sodium ion positive electrode material and sodium ion battery,NAMEI NEW ENERGY TECH LUOYANG CO LTD,NAMEI NEW ENERGY TECH LUOYANG,Manufacturing,General Applications,"The general formula of the sodium ion positive electrode material is NaxMnyFezXsMepO2, y + z/(y + z + s) is larger than or equal to 0.6 and smaller than or equal to 0.7, x is larger than or equal to 0.80 and smaller than or equal to 1.2, X is one or a combination of multiple elements of Ni, Cu and Zn, and Me is one or a combination of multiple elements of Zr, Ca, Cr, Mg, Sr, Ti, Y and Nb. According to the sodium ion positive electrode material and the sodium ion battery, the particle strength of the material is improved, the compaction density of the material is improved, and meanwhile particle breakage is reduced; and the cycle life of the material is greatly prolonged and the gas production problem is greatly improved while the capacity exertion is ensured.",https://lens.org/108-301-549-790-210
010-520-839-390-49X,China,2024-01-26,2024,Battery thermal management system,SHANGHAI JINGSONG ELECTRIC CO LTD,SHANGHAI JINGSONG ELECTRIC,Thermal & Safety,General Applications,"The utility model relates to the field of power battery equipment, in particular to a battery thermal management system which comprises a battery thermal management intelligent controller and a battery support, a thermoelectric refrigerating unit is arranged on the battery support, a cooling plate is further arranged on the thermoelectric refrigerating unit, a temperature sensor is further arranged on the battery support, and the battery thermal management intelligent controller is connected with the temperature sensor. And the temperature sensor and the thermoelectric refrigerating unit are electrically connected to the battery thermal management intelligent controller. The temperature state of the battery is monitored through the temperature sensor, and the working state of the thermoelectric refrigerating unit can be controlled through the battery thermal management intelligent controller, so that the battery is cooled or heated, the battery is kept within a certain temperature range, the service life of the battery is prolonged, and the safety of the battery is improved.",https://lens.org/010-520-839-390-49X
054-973-809-863-442,China,2024-06-04,2024,Sodium-ion battery positive electrode sodium pre-modification method and sodium-ion battery positive electrode subjected to sodium pre-modification,UNIV KUNMING SCIENCE & TECHNOLOGY,UNIV KUNMING SCIENCE & TECHNOLOGY,Others,General Applications,"The invention provides a sodium ion battery positive electrode sodium pre-modification method and a sodium ion battery positive electrode subjected to sodium pre-modification. The sodium-ion battery positive electrode sodium pre-modification method comprises the following steps: mixing an organic sodium solution with a carbon source in an inert atmosphere to obtain organic sodium gel; and mixing the organic gel with the sodium-ion battery positive electrode material in an inert atmosphere, and obtaining the sodium-pre-modified sodium-ion battery positive electrode after the reaction is finished. A chemical reaction pre-sodium modification method is adopted, the sodium-ion battery positive electrode and the organic sodium gel react to obtain the sodium-rich or over-sodium-rich positive electrode, the half-battery first-cycle charge-discharge specific capacity is remarkably improved, the battery energy density is remarkably improved, the cycle life is remarkably prolonged, and the method has wide research prospects and application value.",https://lens.org/054-973-809-863-442
136-576-521-233-306,United States,2024-11-19,2024,Compact and lightweight drone delivery device called an ArcSpear electric jet drone system having an electric ducted air propulsion system and being relatively difficult to track in flight,BITAR PETE,BITAR PETE,Charging Technology,Electric Vehicles,"A compact and lightweight, drone delivery device propelled by an electric ducted air propulsion system. The device is called an ArcSpear Electric Jet Drone System and is relatively difficult to track in flight (stealth), relatively fast, able to maneuver quickly, and able to be re-deployed after recharging and replenishing the payload. The system includes a frame carrying the propulsion system, payload, and controls. The frame structure supports a flight controller and a ducted turbine system with at least one and preferably four turbines the blades/impellers being secured inside a protection shroud/duct and individual electric motors that are powered by rechargeable batteries.",https://lens.org/136-576-521-233-306
130-665-261-167-897,China,2024-07-19,2024,"Lithium ion battery energy estimation method and device, electronic equipment and storage medium",CHINA FAW GROUP CORP,CHINA FAW GROUP,Others,Electric Vehicles,"The invention provides a lithium ion battery energy estimation method and apparatus, an electronic device and a storage medium. The method comprises the steps of obtaining a current terminal voltage and a current load current of a lithium ion battery and a mathematical equation of a dual-polarized circuit model corresponding to the lithium ion battery; determining a current battery energy initial value of the lithium ion battery according to the current terminal voltage and the current load current of the lithium ion battery and the mathematical equation of the dual-polarized circuit model corresponding to the lithium ion battery; obtaining the current battery health degree of the lithium ion battery; and according to the current battery health degree and the current battery energy initial value of the lithium ion battery, the current battery energy estimation value of the lithium ion battery is determined, so that the accuracy of battery energy estimation is improved, and the endurance prediction accuracy of the electric vehicle and the whole vehicle stability of the electric vehicle are improved.",https://lens.org/130-665-261-167-897
064-611-737-311-255,China,2024-01-05,2024,"Sodium ion composite positive electrode material, preparation method and application thereof, sodium ion battery positive electrode plate and sodium ion battery",CHINA PETROLEUM & CHEM CORP;;SHANGHAI RESEARCH INSTITUTE OF PETROCHEMICAL TECH OF SINOPEC,CHINA PETROLEUM & CHEM,Charging Technology,General Applications,"The invention relates to the technical field of sodium-ion batteries, in particular to a sodium-ion composite positive electrode material, a preparation method and application thereof, a sodium-ion battery positive electrode plate and a sodium-ion battery. The sodium ion composite positive electrode material has a multi-layer composite structure and comprises a sodium ion positive electrode material with a core-shell structure and graphene coating the sodium ion positive electrode material with the core-shell structure, the sodium ion positive electrode material with the core-shell structure comprises an inner core and an outer shell coating the inner core, the core is a P2-type sodium ion positive electrode material, and the shell is a tunnel-type sodium ion positive electrode material. The composite positive electrode material has good air stability, high structural stability and excellent electrochemical performance; the sodium ion composite positive electrode material is applied to the sodium ion battery, so that the sodium ion battery has the advantages of long service life, short charging time, high safety and the like.",https://lens.org/064-611-737-311-255
172-289-491-752-95X,China,2024-06-18,2024,Method and system for monitoring health condition of lithium ion battery in fast charge cycle process,HEFEI GUOXUAN HIGH TECH POWER ENERGY CO LTD,HEFEI GUOXUAN HIGH TECH POWER ENERGY,Charging Technology,Electric Vehicles,"The invention relates to a method and a system for monitoring the health condition of a lithium ion battery in a fast charge cycle process. The method for monitoring the health condition of the lithium ion battery in the fast charge cycle process comprises the following steps of: placing a three-electrode lithium ion battery at a preset constant temperature and charging and discharging at a set charging and discharging rate; and the lithium precipitation state of the battery is judged according to the change trend of the negative electrode to the reference potential in the charging process, so that the health condition monitoring in the rapid charging cycle process of the lithium ion battery is realized. The lithium precipitation information of the battery is obtained by monitoring the potential of the reference electrode, that is, the chemical process is digitalized and digitized, and the ultimate target is to apply proper charge-discharge multiplying power under the condition of designing batteries with different charge states, so that the lithium precipitation is effectively avoided or relieved.",https://lens.org/172-289-491-752-95X
016-873-674-291-339,United States,2024-04-04,2024,"SOLID-STATE ELECTROLYTE, LITHIUM BATTERY COMPRISING SOLID-STATE ELECTROLYTE, AND PREPARATION METHOD OF SOLID-STATE ELECTROLYTE",SAMSUNG ELECTRONICS CO LTD,SAMSUNG ELECTRONICS,Battery Chemistry,General Applications,"A solid-state electrolyte including:a compound represented by Formula 1Li5-4yAl1-yXyO4-4y-δ Formula 1wherein in Formula 1, 0.1≥y≥0.8 and 0≤δ<1, and X is Cl, Br, or a combination thereof, andwherein the compound is amorphous.",https://lens.org/016-873-674-291-339
144-595-224-652-444,Japan,2024-06-27,2024,POSITIVE ELECTRODE MATERIAL FOR SODIUM ION BATTERY AND SODIUM ION BATTERY,UNIV TOKYO AGRICULTURE & TECHNOLOGY;;K & W LTD,UNIV TOKYO AGRICULTURE & TECHNOLOGY,Others,General Applications,"To provide a positive electrode material for a sodium-ion battery with good charge/discharge capacity under faster conditions, such as 1000C, which corresponds to a charge/discharge time of 3.6 seconds by solving a problem in which sodium-ion batteries have been attracting attention as a post-lithium-ion battery, but there have been no positive electrode materials with sufficient charge/discharge capacity under high-speed conditions.SOLUTION: A positive electrode material for a sodium ion battery contains a sodium compound represented by the chemical formula (1): Na3-x+y-zV2(PO4)3-x-y-z-w(SO4)x(SiO4)y(WO4)z(BO3)w(x≥0, y≥0, z≥0, w≥0, 0<x+y+z+w≤3).SELECTED DRAWING: Figure 3",https://lens.org/144-595-224-652-444
045-135-001-340-48X,China,2024-08-06,2024,"Sodium-ion battery positive electrode material with coating layer, preparation method of sodium-ion battery positive electrode material, sodium-ion battery and application of sodium-ion battery",GUIZHOU WEIFANG ENERGY NEW MATERIAL TECH CO LTD,GUIZHOU WEIFANG ENERGY NEW MATERIAL TECH,Manufacturing,General Applications,"The invention provides a sodium-ion battery positive electrode material with a coating layer, a preparation method of the sodium-ion battery positive electrode material, a sodium-ion battery and application of the sodium-ion battery positive electrode material, and relates to the technical field of sodium-ion battery positive electrode materials. Therefore, the stability of the sodium-ion battery positive electrode material in the air can be improved, the capacity and the cycling stability of the sodium-ion battery can be effectively improved, the technical problem of poor performance of the sodium-ion battery in the prior art is solved, and meanwhile, the preparation method is easy to operate, simple in process, high in success rate and suitable for industrialized production.",https://lens.org/045-135-001-340-48X
062-567-413-586-115,Japan,2024-10-11,2024,"SOLID ELECTROLYTE, ELECTRODE FOR SOLID-STATE BATTERIES AND SOLID-STATE BATTERY",TDK CORP,TDK,Battery Chemistry,Electric Vehicles,"To provide a solid electrolyte that achieves improvement in initial charging/discharging efficiency, an electrode for solid-state batteries including the solid electrolyte, and a solid-state battery including the electrode for solid-state batteries.SOLUTION: The solid-state battery is represented by the formula (1): Li1-jMjOmFqCl1+2j-(2m+q). In the formula (1), M denotes one or both of Al and Ga, and the following relationships hold: 0<j<1, 0<2 m<1+2j, 0<q<1+2j, 0<2 m+q<1+2j.SELECTED DRAWING: Figure 1",https://lens.org/062-567-413-586-115
086-355-832-293-567,China,2024-06-14,2024,Solid-state electrolyte and solid-state battery,UNIV HONG KONG SCIENCE & TECH,UNIV HONG KONG SCIENCE & TECH,Battery Chemistry,General Applications,"The invention discloses a solid-state electrolyte and a solid-state battery, the solid-state electrolyte is of a layered structure, and the solid-state electrolyte comprises a polymer electrolyte layer and an inorganic oxide electrolyte layer; the polymer electrolyte layer comprises a support body and an electrolyte material adsorbed in the support body; the inorganic oxide electrolyte layer comprises an inorganic oxide filler of which the surface is coated with an electrolyte material, or a composition of the inorganic oxide filler of which the surface is coated with the electrolyte material and the inorganic oxide filler; the preparation raw materials of the electrolyte material comprise a polymeric monomer, a lithium salt, an ionic liquid and a solvent, the electrolyte material comprises a polymer, and the polymer is prepared from a polymeric monomer and a lithium salt through an in-situ polymerization reaction. The solid electrolyte provided by the invention has relatively high lithium ion conductivity and energy density, excellent electrochemical stability and relatively high safety, and can have relatively stable cycle performance under high current density.",https://lens.org/086-355-832-293-567
