#,Lens ID,Jurisdiction,Publication Date,Publication Year,Title,Abstract,Applicants,Inventors,URL
13,146-448-997-359-63X,EP,2020-05-20,2020,PARALLEL CHARGING AND POWER SUPPLY SYSTEM FOR PURE ELECTRIC VEHICLE,,ADVANCED HIGH POWER MULTI ACT/XE SOURCE ENERGY SCIENCE TECH CO LTD,WANG XU,https://lens.org/146-448-997-359-63X
14,161-629-986-058-045,US,2017-06-29,2017,PARALLEL CHARGING AND POWER SUPPLY SYSTEM FOR PURE ELECTRIC VEHICLE,"A parallel charging and power supply system for a battery electric vehicle comprises a battery unit, a battery management system, a vehicle control unit, a motor controller and a motor, wherein a corresponding signal output end and a signal input end of the battery management system are respectively connected with a corresponding signal input end and a signal output end of the battery unit; the motor controller is respectively connected with a power output end of the battery unit, a power input end of the motor and a signal output end of the motor; a signal input end of the vehicle control unit is respectively connected with the corresponding signal output ends of the battery management system and the motor controller.",ADVANCED HIGH POWER MULTI(ACT/XE) SOURCE ENERGY SCIENCE-TECH CO LTD;;ADVANCED HIGH POWER MULTI(ACT/XE) SOURCE ENERGY SC IENCE-TECH CO LTD,WANG XU,https://lens.org/161-629-986-058-045
15,179-131-086-321-990,EP,2017-07-05,2017,INSTALLATION STRUCTURE FOR LITHIUM-ION BATTERY BOX OF ELECTRIC VEHICLE,"The present invention relates to an installation structure for a lithium-ion battery box of an electric vehicle, comprising a battery box body and a frame oblique beam, wherein a jack is made in the front end of the battery box body; an installation groove is made in the frame oblique beam; a front battery box base is installed in the front installation groove; a bolt driven through a key is arranged on the front battery box base; and locking fixation between the battery box body and the frame oblique beam is realized by inserting the bolt into the jack. The installation structure for the lithium-ion battery box of the electric vehicle is characterized in that: an upwards-bulged arc-shaped limit groove is made in the axis of the middle part of the lower cover of the box body; the installation groove of the frame oblique beam is an installation groove with a horizontal opening; a limit bulge adaptive to the arc-shaped limit groove is made on the groove bottom of the installation groove; and installation for the battery box body and a frame sectional material is realized through embedding for the arc-shaped limit groove and the limit bulge. The present invention has the advantages of being scientific and reasonable in structural design, simple in structure, convenient in disassembly and assembly, beneficial to frame design, high in aesthetics, and capable of meeting the use needs of users.",AIMA TECH CO LTD,DUAN HUA;;WANG SHIYONG;;LI ZONGYOU;;HU YINGHUA;;WANG JING;;TIAN WEI,https://lens.org/179-131-086-321-990
16,182-115-243-150-610,US,2015-06-25,2015,Lithium Metal Complex Oxide,"Provided is a novel lithium metal complex oxide powder, which is capable of maintaining stability of the slurry viscosity during storage of a slurry even when D50 thereof is less than 10 μm, and which is also capable of suppressing a decrease in the discharge capacity during high temperature cycles. Proposed is a lithium metal complex oxide which is characterized by having a D50 of less than 10 μm and a carbon amount per unit BET specific surface area of from 1100 ppm/(m2/g) to 7500 ppm/(m2/g).",MITSUI MINING & SMELTING CO,MITSUMOTO TETSUYA;;IDE HITOHIKO;;KAGEI SHINYA;;HATA YOSHIMI,https://lens.org/182-115-243-150-610
17,187-934-093-469-36X,US,2022-08-02,2022,"Hybrid electric vehicle, and lithium ion secondary battery cell selection method for hybrid electric vehicle","Provided is a hybrid electric vehicle in which, in accordance with the system side of the vehicle including a fuel economy-emphasized system, a wide use-range of the SOC of a lithium ion secondary battery cell can be utilized.",ENVISION AESC JAPAN LTD,OHARA KENJI;;TANAKA SHIN;;KAWAMURA FUMIHIRO;;AOYAGI MASANORI;;NISHIYAMA JUNKO,https://lens.org/187-934-093-469-36X
18,192-592-222-191-258,US,2022-11-10,2022,METHOD FOR OPTIMIZING POWER DISTRIBUTION OF FUEL CELL VEHICLE,"A rational fuel-cell power following strategy is made according to values such as vehicle fuel-cell power, battery power, and SOC (state of charge) of a lithium-ion battery; in the same time window, effects of different fuel-cell power growth rates on SOC of the lithium-ion battery are tested according to vehicle requirements; and at the same fuel-cell growth rate, effects of different time windows on SOC of the lithium-ion battery are tested according to vehicle requirements; a proper time window and a proper fuel-cell power change rate are found, so that the SOC value of the lithium-ion battery fluctuates within a certain range. The present invention can achieve a good operation mode of power distribution between the fuel cell and the lithium-ion battery, ensuring rational utilization of resources, thereby extending the application range of the lithium-ion battery to the maximum extent.",HIGER BUS CO LTD,FAN HAIMEI;;ZHANG WEI;;XIONG JINFENG;;SHI YUSHUAI,https://lens.org/192-592-222-191-258
19,199-416-508-867-796,US,2016-05-31,2016,Vehicle,"A vehicle has a motor and an engine each serving as a driving source for running the vehicle, and assembled batteries each capable of supplying an electric power to the motor. The assembled batteries include a high-power assembled battery and a high-capacity assembled battery. The high-power assembled battery is capable of charge and discharge with a current relatively larger than that in the high-capacity assembled battery, and the high-capacity assembled battery has an energy capacity relatively larger than that of the high-power assembled battery. In running of the vehicle using an output from the motor with the engine stopped, the high-capacity assembled battery supplies a more electric power to the motor than that in the high-power assembled battery. The high-power assembled battery is placed in a riding space where a passenger rides, and the high-capacity assembled battery is placed in a luggage space different from the riding space.",KIMURA KENJI;;SATO AKIHIRO;;TOYOTA MOTOR CO LTD,KIMURA KENJI;;SATO AKIHIRO,https://lens.org/199-416-508-867-796
20,199-425-961-710-177,US,2018-08-21,2018,Lithium ion batteries with long cycling performance,"Batteries with high energy and high capacity are described that have a long cycle life upon cycling at a moderate discharge rate. Specifically, the batteries may have a room temperature fifth cycle discharge specific energy of at least about 175 Wh/kg discharged at a C/3 discharge rate from 4.2V to 2.5V. Additionally, the batteries can maintain at least about 70% discharge capacity at 1000 cycles relative to the fifth cycle, with the battery being discharged from 4.2V to 2.5V at a C/2 rate from the fifth cycle through the 1000th cycle. In some embodiment, the positive electrode of the battery comprises a lithium intercalation composition with optional metal fluoride coating. Stabilizing additive maybe added to the electrolyte of the battery to further improve the battery performance. The batteries are particularly suitable for use in electric vehicles.",KUMAR SUJEET;;BUCKLEY JAMES P;;SHI HANG;;ZENLABS ENERGY INC,KUMAR SUJEET;;BUCKLEY JAMES P;;SHI HANG,https://lens.org/199-425-961-710-177
21,002-217-728-879-215,US,2022-11-24,2022,"ELECTRIC VEHICLE (EV) EXTERNAL POWER PORT DEVICE, SYSTEM, AND VEHICLE WITH POWER PORT DEVICE","A vehicle power port device for use with a vehicle having a rechargeable lithium ion battery, the device including one or more power ports installed in, on, or within the vehicle, the one or more power ports configured to connect to and power an electrical device or equipment located external to the vehicle and a power cable connecting the rechargeable lithium ion battery directly, or indirectly, to the one or more power ports.",NOCO CO,STANFIELD JAMES RICHARD;;MOORE BRUCE CLARK,https://lens.org/002-217-728-879-215
22,011-466-303-901-732,EP,2023-02-15,2023,"LITHIUM-ION SECONDARY BATTERY AND RELATED PREPARATION METHOD THEREFOR, BATTERY MODULE, BATTERY PACK, AND DEVICE",,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,LI ZHIQIANG;;LI QIFENG;;HAN CHANGLONG,https://lens.org/011-466-303-901-732
23,031-771-215-085-807,US,2020-11-10,2020,Vehicle having a lithium-ion battery,"A vehicle includes an electric onboard power system, in which electrical components and at least one lithium-ion battery are integrated. The lithium-ion battery includes a plurality of lithium-ion cells, each lithium-ion cell is based on a cell technology, and the cell technologies of at least two lithium-ion cells are different.",BAYERISCHE MOTOREN WERKE AG,MAUERER MARKUS;;SCHARNER SEBASTIAN;;STOERMER ANDREAS;;HAFKEMEYER MARCUS,https://lens.org/031-771-215-085-807
24,049-409-142-701-948,CN,2018-06-12,2018,Lithium ion constant electric battery control system and lithium ion constant electric battery,"The invention discloses a lithium ion constant electric battery control system which comprises a lithium ion constant electric battery single body control board, a two-way DC/DC converter and a charging and discharging port. One end of the two-way DC/DC converter is connected with a vehicle-mounted DC/DC power source through the charging and discharging port, the other end of the two-way DC/DC converter is connected with the lithium ion constant electric battery single body control board, and the lithium ion constant electric battery single body control board and a lithium ion constant electric battery module are connected; the two-way DC/DC converter is used for controlling the vehicle-mounted DC/DC power source to charge the lithium ion constant electric battery module when detecting input current from the vehicle-mounted DC/DC power source or controlling the lithium ion constant electric battery module to discharge electricity when not detecting the input current from the vehicle-mounted DC/DC power source. In addition, the invention discloses a lithium ion constant electric battery. By the adoption of the lithium ion constant electric battery control system and the lithium ionconstant electric battery, energy is saved, and the service life of the constant electric battery is prolonged.",ZHIDOU ELECTRIC VEHICLE CO LTD,WANG SHUAI;;BAO WENGUANG;;WU HUI;;ZHOU HUACHENG;;YAN WEI;;YAN YOUSHENG;;FAN XIAOHU;;HE ZHIGANG,https://lens.org/049-409-142-701-948
25,053-373-565-519-948,US,2022-06-28,2022,"Lithium ion secondary battery system, charging unit, and method for controlling lithium ion secondary battery","Provided is a lithium ion secondary battery system having excellent reliability.Provided is a lithium ion secondary battery system including, at least a lithium ion secondary battery including a positive electrode and a negative electrode, and a lithium deposition sensor. In this lithium ion secondary battery system, the lithium deposition sensor includes an endotherm detector, and the endotherm detector detects endotherm in a constant current charging range.",MURATA MANUFACTURING CO,ENDO MOTOKI,https://lens.org/053-373-565-519-948
26,057-423-574-891-838,US,2014-09-18,2014,Dual Lithium-Ion Battery System for Electric Vehicles,"A battery system for powering a vehicle is provided. The system may include a first lithium-ion battery pack having a first total energy capacity and a first power to energy ratio (P/E ratio) and a second lithium-ion battery pack connected in parallel with the first lithium-ion battery pack and having a second total energy capacity that is higher than the first total energy capacity and a second P/E ratio that is lower than the first P/E ratio. A method of controlling the battery system is also provided, and may include controlling an operation of a vehicle according to a total power capability of the first and second battery strings, wherein the total power capability is the sum of a first battery string power capability and a second battery string power capability at a same voltage.",FORD GLOBAL TECH LLC,YANG XIAO GUANG;;ARSENAULT RENATA MICHAELA;;ANDERSON RICHARD DYCHE,https://lens.org/057-423-574-891-838
27,069-925-115-659-648,CN,2024-01-23,2024,Lithium ion battery life abnormity detection method,"The invention provides a lithium ion battery life anomaly detection method, which comprises the following steps of: calibrating coulombic efficiency of a target lithium ion battery to obtain two coulombic efficiency curves, and further obtaining a modified equation of a first fitting curve and a modified equation of a second fitting curve; secondly, for an electric vehicle loaded with a lithium ion battery with the same model as the target lithium ion battery, the coulombic efficiency ys and the number of circulation turns of the lithium ion battery of the electric vehicle are obtained, a standard coulombic efficiency upper limit value ymax and a standard coulombic efficiency lower limit value ymin are obtained based on the number of circulation turns of the lithium ion battery of the electric vehicle, and if ys is larger than ymax or ys is smaller than ymin, the coulombic efficiency of the lithium ion battery of the electric vehicle is judged to be larger than ymax or smaller than ymin. The electric vehicle lithium ion battery life detection method has the advantages of being low in cost and short in consumed time.",UNIV NANCHANG,LIU XIANJUN;;LI YANFEI;;XU KAIWEN,https://lens.org/069-925-115-659-648
28,080-697-546-963-576,US,2022-12-01,2022,LITHIUM-ION BATTERY AND APPARATUS CONTAINING SAME,"A lithium-ion battery and an apparatus containing the same are provided. In some embodiments, the lithium-ion battery includes: a positive electrode plate including a positive electrode current collector and a positive electrode active substance layer; and an electrolyte including a non-aqueous organic solvent. A low-swelling adhesive layer and an oily adhesive layer are sequentially arranged between the positive electrode current collector and the positive electrode active substance layer; the low-swelling adhesive layer includes a low-swelling binder, and the oily adhesive layer includes a first binder, where a solubility parameter SP1 of the low-swelling binder is less than a solubility parameter SP2 of the first binder.",JIANGSU CONTEMPORARY AMPEREX TECH LTD,CAO JINGYU;;LIU HUIHUI;;LI SHISONG;;MA LIN,https://lens.org/080-697-546-963-576
29,109-263-541-426-221,US,2024-09-19,2024,ULTRA-FAST CHARGING METHOD FOR FORKLIFT BATTERY,"Electric powered forklifts or cleaning machine have attracted much attention in the last decade because of their very substantial benefits. The main issue facing the efficiency of Electric forklifts is the charging time needed for the battery pack. To achieve the Ultra-fast charging for the battery. An AC-DC or DC-DC converter is added inside the battery compartment. The converter enables the charger to supply high power and voltage as the converter step-down the voltage to the standard battery voltage. By using this method, the charging time will be reduced without using big or bulky cables.",GREEN CUBES TECH LLC,ALOBAIDI MOHAMMED,https://lens.org/109-263-541-426-221
30,118-542-046-279-170,US,2024-10-31,2024,SYSTEM FOR HEATING A LITHIUM-ION BATTERY USING ALTERNATING CURRENT AND A VEHICLE HAVING THE SAME,"A vehicle having an ambient temperature sensor, a low voltage lithium-ion battery and a controller is provided. The controller is configured to monitor the ambient temperature sensor and based on a determination that an ambient temperature is below a threshold value, provide an alternating current power to the low voltage lithium-ion battery. The alternating current power causes the low voltage lithium-ion battery to heat.",GM GLOBAL TECH OPERATIONS LLC,GOPALAKRISHNAN SURESH;;SHIDORE NEERAJ S;;NAMUDURI CHANDRA S;;HAO LEI;;KETKAR SATISH P;;FAU CHRISTIAN;;WINGER LYALL KENNETH,https://lens.org/118-542-046-279-170
31,120-060-330-073-92X,US,2021-12-23,2021,DISPOSABLE VEHICLE STARTER AND METHOD,"A disposable portable vehicle starting unit including a housing having a handle for carrying the disposable portable vehicle starting unit by hand or by attaching to clothing, a lithium ion 28 volt battery enclosed in the housing, and a 3-pin connector attached to the housing and electrically connected to positive and negative terminals of the lithium ion 28 volt battery, the 3-pin connector being externally accessible.",WURTH JAMES,WURTH JAMES,https://lens.org/120-060-330-073-92X
32,140-741-320-919-767,US,2021-04-22,2021,"LITHIUM ION BATTERY AND RELEVANT BATTERY MODULE, BATTERY PACK AND APPARATUS","The present application relates to a lithium ion battery, comprising: a positive electrode plate, a negative electrode plate, a separator disposed between the positive electrode plate and the negative electrode plate, and an electrolytic solution, the positive electrode plate including a positive electrode current collector and a positive electrode active material layer provided on at least one side of the positive electrode current collector, and the electrolytic solution including an organic solvent, a lithium salt and an additive, wherein the lithium salt comprises a primary lithium salt, the primary lithium salt is a first compound in an amount of 30% or more relative to the total molar amount of the lithium salt, and the first compound has a structure represented by the following formula I, and wherein the additive comprises a second compound represented by the following formula II.",CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,LIANG CHENGDU;;ZHANG CUIPING;;ZHANG MING;;CHEN PEIPEI;;ZOU HAILIN;;LI LIYE,https://lens.org/140-741-320-919-767
33,140-888-711-703-599,EP,2018-10-17,2018,VEHICLE,,TOYOTA MOTOR CO LTD,HAYASHI TSUYOSHI;;KIMURA KENJI;;NAKAYAMA TAKUROU;;FUJIWARA NOBUYOSHI;;SATO AKIHIRO;;WATANABE HIROTAKA,https://lens.org/140-888-711-703-599
34,142-834-996-423-716,US,2022-03-29,2022,Electric bus,"A low-floor electric bus includes a plurality of battery packs mounted under the floor of such that the floor inside the bus between a front axle and a rear axle of the bus is substantially flat. Each battery pack may include an enclosure and multiple battery modules positioned within the enclosure. And, each battery module may include a plurality of battery cells electrically connected together.",PROTERRA INC,HILL DALE;;WALKER MICHAEL;;ONORATO SHAUN;;MORRIS DONALD;;MISENCIK STEPHEN;;WINKEL JOHN,https://lens.org/142-834-996-423-716
35,152-584-280-209-400,US,2018-07-03,2018,Electric storage apparatus,"A diagnosis apparatus performing a diagnosis for reuse of an electric storage apparatus including a plurality of electric storage elements connected electrically in series includes a voltage sensor detecting a voltage of each of a plurality of blocks, the plurality of electric storage elements being divided into the blocks; a current sensor detecting a current in the electric storage apparatus; and a controller calculating an internal resistance of each of the blocks based on outputs from the voltage sensor and the current sensor. The controller specifies the highest of the internal resistances of the plurality of blocks as a criterion to perform the diagnosis for the reuse of the electric storage apparatus.",KURIMOTO YASUHIDE;;TOYOTA MOTOR CO LTD,KURIMOTO YASUHIDE,https://lens.org/152-584-280-209-400
36,160-069-505-969-771,US,2014-08-12,2014,LNG—lithium hybrid vehicle (LLHV),"The invention of the LNG-Lithium Hybrid Vehicle (LLHV) combines Liquid Natural Gas (LNG) and lithium-ion battery power sources to propel the vehicle, said vehicle having an electric series motor for acceleration and a shunt motor for cruising. An accelerator engaging arm is attached to the primary acceleration pedal for the purpose of operating the series motor and the shunt motor. The invention further provides an LNG control system that routes power from the generator to either run the vehicle or recharge the lithium-ion batteries.",MEHR NASSER FRED;;PARVIZI YADOLLAH;;SHARIFI ESFANDIAR;;NEKOLNY MICHAEL,MEHR NASSER FRED;;PARVIZI YADOLLAH;;SHARIFI ESFANDIAR;;NEKOLNY MICHAEL,https://lens.org/160-069-505-969-771
37,167-221-470-113-903,CN,2019-03-19,2019,Battery-electric-vehicle power-source system with lithium battery trailer,"The invention relates to the technical field of automobile power sources, in particular to a battery-electric-vehicle power-source system with a lithium battery trailer. The battery-electric-vehicle power-source system comprises a battery-electric-vehicle power system and a trailer lithium-ion-battery power system. According to the technical scheme, a 1-kwh super-capacitor battery pack is installed in a battery electric vehicle to replace a traditional lithium ion battery pack, the lithium ion battery pack is installed on a single-wheel trailer, and when the battery electric vehicle is driven,the lithium ion battery pack on the single-wheel trailer serves as a power source.",MAO QI,MAO QI,https://lens.org/167-221-470-113-903
38,190-022-114-175-78X,US,2020-11-05,2020,"LITHIUM ION SECONDARY BATTERY SYSTEM, CHARGING UNIT, AND METHOD FOR CONTROLLING LITHIUM ION SECONDARY BATTERY","Provided is a lithium ion secondary battery system including, at least a lithium ion secondary battery including a positive electrode and a negative electrode, and a lithium deposition sensor. In this lithium ion secondary battery system, the lithium deposition sensor includes an endotherm detector, and the endotherm detector detects endotherm in a constant current charging range.",MURATA MANUFACTURING CO,ENDO MOTOKI,https://lens.org/190-022-114-175-78X
39,192-467-354-077-948,US,2015-08-11,2015,"Positive electrode plate for use in lithium ion secondary battery, lithium ion secondary battery, vehicle, device with battery mounted thereon, and method for producing positive electrode plate for lithium ion secondary battery","A positive electrode plate for a lithium ion secondary battery is made of aluminum and includes a positive current collecting foil made of aluminum, in which at least a main surface portion constituting a main surface is porous, a positive active material layer formed on the main surface portion of the positive current collecting foil, and a coating layer, having electrical conductivity and corrosion resistance, formed between the positive current collecting foil and the positive active material layer to directly coat the main surface of the positive current collecting foil.",SATO TAKAYASU;;IMAMURA YUICHIRO;;MATSUSHITA YUKI;;TOYOTA MOTOR CO LTD,SATO TAKAYASU;;IMAMURA YUICHIRO;;MATSUSHITA YUKI,https://lens.org/192-467-354-077-948
40,194-651-129-018-629,US,2015-01-08,2015,Vehicle having a Lithium-Ion Battery,"A vehicle includes an electric onboard power system, in which electrical components and at least one lithium-ion battery are integrated. The lithium-ion battery includes a plurality of lithium-ion cells, each lithium-ion cell is based on a cell technology, and the cell technologies of at least two lithium-ion cells are different.",BAYERISCHE MOTOREN WERKE AG,MAUERER MARKUS;;SCHARNER SEBASTIAN;;STOERMER ANDREAS;;HAFKEMEYER MARCUS,https://lens.org/194-651-129-018-629
41,003-054-530-690-276,US,2021-12-30,2021,PRE-LITHIATION OF BATTERY ELECTRODE MATERIAL,"A method for making a pre-lithiated electrode for a lithium ion battery cell, a method for making a battery with a pre-lithiated electrode, and an electric vehicle with a pre-lithiated electrode are provided. An exemplary method for making a pre-lithiated electrode for a lithium ion battery cell includes electrochemically connecting a magnesium-lithium alloy to the electrode. Further, the method includes pre-lithiating the electrode by transferring lithium ions from the magnesium-lithium alloy to the electrode. Also, the method includes electrochemically disconnecting the magnesium-lithium alloy from the electrode.",GM GLOBAL TECH OPERATIONS LLC,BOBEL ANDREW C;;SACHDEV ANIL K;;CAIN JEFFREY D;;MAO LENG,https://lens.org/003-054-530-690-276
